  [0x38cfa5] __TEXT,__cstring: component-index
  [0x38cfb5] __TEXT,__cstring: site.ReadMemoryCommand
  [0x38cfcc] __TEXT,__cstring: AppleAuthCPRelayInterface
  [0x38cfe6] __TEXT,__cstring: site.AppleAuthCPRelayInterface
  [0x38d005] __TEXT,__cstring: 121111121222121212
  [0x38d018] __TEXT,__cstring: device-version
  [0x38d02c] __TEXT,__cstring: auth-passed
  [0x38d038] __TEXT,__cstring: auth-error
  [0x38d043] __TEXT,__cstring: certificate
  [0x38d04f] __TEXT,__cstring: challenge
  [0x38d059] __TEXT,__cstring: signature
  [0x38d063] __TEXT,__cstring: MogulAuthSMCRelayInterface
  [0x38d07e] __TEXT,__cstring: site.MogulAuthSMCRelayInterface
  [0x38d09e] __TEXT,__cstring: iic-bus-num
  [0x38d0aa] __TEXT,__cstring: AppleAuthCPHSAID
  [0x38d0bb] __TEXT,__cstring: site.AppleAuthCPHSAID
  [0x38d0d1] __TEXT,__cstring: 121111121222121212211111121
  [0x38d0ed] __TEXT,__cstring: IOAccessoryManagerHSAID
  [0x38d105] __TEXT,__cstring: AppleAuthCPHSAID::%s success!
  [0x38d124] __TEXT,__cstring: probe
  [0x38d12a] __TEXT,__cstring: AppleAuthCPHSAID::%s Starting!
  [0x38d14a] __TEXT,__cstring: hsaid-auth
  [0x38d155] __TEXT,__cstring: AppleAuthCPHSAID::%s Disabled with boot-arg!
  [0x38d183] __TEXT,__cstring: AppleAuthCPHSAID::%s Failed super::start!
  [0x38d1ae] __TEXT,__cstring: AppleAuthCPHSAID::%s Provider isn't a HSAID manager!
  [0x38d1e4] __TEXT,__cstring: AppleAuthCPHSAID::%s Failed to create command gate!
  [0x38d219] __TEXT,__cstring: AppleAuthCPHSAID::%s Inactive when starting!
  [0x38d247] __TEXT,__cstring: start_block_invoke
  [0x38d25a] __TEXT,__cstring: AppleAuthCPHSAID::%s Failed to get HSAID transport!
  [0x38d28f] __TEXT,__cstring: AppleAuthCPHSAID::%s Could not open HSAID transport!
  [0x38d2c5] __TEXT,__cstring: AppleAuthCPHSAID::%s result %s
  [0x38d2e5] __TEXT,__cstring: AppleAuthCPHSAID::%s Stopping!
  [0x38d305] __TEXT,__cstring: AppleAuthCPHSAID::%s terminating due to bus requesting close!
  [0x38d344] __TEXT,__cstring: message
  [0x38d34c] __TEXT,__cstring: AppleAuthCPHSAID::%s terminating due to message!
  [0x38d37e] __TEXT,__cstring: AppleAuthCPHSAID::%s Starting auth with version: %d, challenge len: %llu.
  [0x38d3c9] __TEXT,__cstring: AppleAuthCPHSAID::%s Authentication result: %s
  [0x38d3f9] __TEXT,__cstring: AppleAuthCPHSAID::%s Copy certificate result %s
  [0x38d429] __TEXT,__cstring: copyCertificate
  [0x38d439] __TEXT,__cstring: AppleAuthCPHSAID::%s Fetching auth info!
  [0x38d463] __TEXT,__cstring: requestAuthenticationInfo
  [0x38d47d] __TEXT,__cstring: AppleAuthCPHSAID::%s Could not send command: %s
  [0x38d4af] __TEXT,__cstring: AppleAuthCPHSAID::%s Fetching auth certificate!
  [0x38d4e0] __TEXT,__cstring: requestAuthenticationCertificate
  [0x38d501] __TEXT,__cstring: AppleAuthCPHSAID::%s Could not send command: %s!
  [0x38d533] __TEXT,__cstring: AppleAuthCPHSAID::%s Fetching auth signature!
  [0x38d562] __TEXT,__cstring: requestAuthenticationSignature
  [0x38d581] __TEXT,__cstring: AppleAuthCPHSAID::%s Starting auth with challenge length %llu
  [0x38d5c0] __TEXT,__cstring: requestAuthenticationStart
  [0x38d5db] __TEXT,__cstring: AppleAuthCPHSAID::%s Getting error!
  [0x38d600] __TEXT,__cstring: requestLastAuthenticationError
  [0x38d61f] __TEXT,__cstring: AppleAuthCPHSAID::%s Fetching certificate serial number!
  [0x38d659] __TEXT,__cstring: requestAuthenticationCertificateSerialNumber
  [0x38d686] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Get Authentication Info Response!
  [0x38d6c7] __TEXT,__cstring: handleGetAuthenticationInfoResponse
  [0x38d6eb] __TEXT,__cstring: AppleAuthCPHSAID::%s Transport not active.
  [0x38d717] __TEXT,__cstring: AppleAuthCPHSAID::%s Got %d bytes, expected %lu!
  [0x38d749] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Auth Info Version:%d.%d, DeviceID:%02x%02x FW=%d
  [0x38d799] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Certificate Response! Length %d
  [0x38d7d8] __TEXT,__cstring: handleGetAuthenticationCertificateResponse
  [0x38d803] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Start Authentication Response.
  [0x38d841] __TEXT,__cstring: handleStartAuthenticationResponse
  [0x38d863] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Signature Response. Length: %d
  [0x38d8a1] __TEXT,__cstring: handleGetAuthentationSignatureResponse
  [0x38d8c8] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Get Last Error Response!
  [0x38d900] __TEXT,__cstring: handleGetLastErrorResponse
  [0x38d91b] __TEXT,__cstring: AppleAuthCPHSAID::%s Received Certificate Serial Number Response. Length: %d
  [0x38d969] __TEXT,__cstring: handleGetAuthenticationCertificateSerialNumberResponse
  [0x38d9a0] __TEXT,__cstring: AppleAuthCPHSAID::%s Failed to read serial number!
  [0x38d9d4] __TEXT,__cstring: AppleAuthCPHSAID::%s Failed to allocate buffer!
  [0x38da05] __TEXT,__cstring: AppleAuthCPHSAID::%s Couldn't create string for serial number!
  [0x38da45] __TEXT,__cstring: Area51AuthSMCRelayInterface
  [0x38da61] __TEXT,__cstring: site.Area51AuthSMCRelayInterface
  [0x38da82] __TEXT,__cstring: ReadCommand: %x %x %x %x %x %x %x %x %x %x %x %x
  [0x38dab4] __TEXT,__cstring: %s: _write failed
  [0x38dac6] __TEXT,__cstring: _getDeviceManufacturerData
  [0x38dae1] __TEXT,__cstring: %s: _read failed
  [0x38daf2] __TEXT,__cstring: ReadCommand response: %x %x %x %x %x %x %x %x %x %x %x %x
  [0x38db2d] __TEXT,__cstring: %s: unexpected startOfMessage: %d
  [0x38db4f] __TEXT,__cstring: %s: unexpected messageLength: %d
  [0x38db70] __TEXT,__cstring: %s: unexpected messageID: %x
  [0x38db8d] __TEXT,__cstring: _smcIICRegisterWrite
  [0x38dba2] __TEXT,__cstring: _smcIICRegisterRead
