  [0x512ce0] __TEXT,__cstring: stopDevice
  [0x512ceb] __TEXT,__cstring: %s::%s@%d: Unable to get node state while attempting to stop device: %s(%x)
  [0x512d38] __TEXT,__cstring: %s::%s@%d: Transition down to Prewarm failed, %s(%x)
  [0x512d6e] __TEXT,__cstring: generateAPMCAFromIIS
  [0x512d83] __TEXT,__cstring: , invalid auto
  [0x512d92] __TEXT,__cstring: %s::%s@%d: Invalid bitsPerChannel %d%s
  [0x512dba] __TEXT,__cstring: %s::%s@%d: Only iisMCLKTypeFixed is supported, %d is unexpected
  [0x512dfb] __TEXT,__cstring: %s::%s@%d: Unsupported MCLK frequency %d
  [0x512e25] __TEXT,__cstring: %s::%s@%d: DC MCLK frequency not supported
  [0x512e51] __TEXT,__cstring: %s::%s@%d: Legacy i2s mode Frame too small %d for 2 %dbit channels
  [0x512e95] __TEXT,__cstring: mergeAPMCA
  [0x512ea0] __TEXT,__cstring: %s::%s@%d: MCLK redefinition was '%4.4s' now '%4.4s'
  [0x512ed6] __TEXT,__cstring: %s::%s@%d: MCLK Source redefinition was '%4.4s' now '%4.4s'
  [0x512f13] __TEXT,__cstring: %s::%s@%d: ClockGen redefinition was '%4.4s' now '%4.4s'
  [0x512f4d] __TEXT,__cstring: %s::%s@%d: ClockGen MCLK redefinition was '%4.4s' now '%4.4s'
  [0x512f8c] __TEXT,__cstring: %s::%s@%d: SyncGen redefinition was '%4.4s' now '%4.4s'
  [0x512fc5] __TEXT,__cstring: %s::%s@%d: SyncGen BCLK redefinition was '%4.4s' now '%4.4s'
  [0x513003] __TEXT,__cstring: %s::%s@%d: TxSerDes redefinition was '%4.4s' now '%4.4s'
  [0x51303d] __TEXT,__cstring: %s::%s@%d: RxSerDes redefinition was '%4.4s' now '%4.4s'
  [0x513077] __TEXT,__cstring: %s::%s@%d: MCLKOutputPinMask redefinition was %x now %x
  [0x5130b0] __TEXT,__cstring: %s::%s@%d: ClockGenOutputPinMask redefinition was %x now %x
  [0x5130ed] __TEXT,__cstring: %s::%s@%d: TxSerDesPinMask redefinition was %x now %x
  [0x513124] __TEXT,__cstring: %s::%s@%d: RxSerDesPinMask redefinition was %x or lbPinMask was %x now %x
  [0x51316f] __TEXT,__cstring: computeIISConfigAutos
  [0x513185] __TEXT,__cstring: %s::%s@%d: config has no active TX %d nor RX %d channels
  [0x5131bf] __TEXT,__cstring: %s::%s@%d: Can not determine bitsPerChannel
  [0x5131ed] __TEXT,__cstring: "%s::%s:" "Internal error, invalid IISConfig" @%s:%d
  [0x513222] __TEXT,__cstring: generateMCATiming
  [0x513234] __TEXT,__cstring: %s::%s@%d: Configured blck %d too small for %d bit frame
  [0x51326f] __TEXT,__cstring: %s::%s@%d: Configured blck %d too small for number of Rx bits specified %d
  [0x5132bc] __TEXT,__cstring: %s::%s@%d: Configured blck %d too small for number of Tx bits specified %d
  [0x513309] __TEXT,__cstring: %s::%s@%d: mclkCount %d must be greated than bits required %d
  [0x513349] __TEXT,__cstring: %s::%s@%d: Specified BCLK %d is incompatible with PerFS clock type
  [0x51338e] __TEXT,__cstring: %s::%s@%d: Unknown MCLKType %#x
  [0x5133b0] __TEXT,__cstring: site.IASDMAChannelManager
  [0x5133ca] __TEXT,__cstring: 12112
  [0x5133d0] __TEXT,__cstring: dma-provider-tx
  [0x5133e0] __TEXT,__cstring: dma-provider-rx
  [0x5133f0] __TEXT,__cstring: dma-parent
  [0x5133fb] __TEXT,__cstring: function-admac_powerswitch
  [0x513416] __TEXT,__cstring: "%s::%s:" "No ADMAC suspend ARMFunction for %s" @%s:%d
  [0x51344d] __TEXT,__cstring: hasDMAProperties
  [0x51345e] __TEXT,__cstring: IASDMAChannelManager.cpp
  [0x513477] __TEXT,__cstring: %s::%s@%d: Ignoring provider '%s': no dma property found, or it was wrong type
  [0x5134c8] __TEXT,__cstring: static
  [0x5134cf] __TEXT,__cstring: %s::%s@%d: %s'%s' Bad direction %x, expected half duplex
  [0x513509] __TEXT,__cstring: initForOwner
  [0x513516] __TEXT,__cstring: %s-%s@%s
  [0x51351f] __TEXT,__cstring: %s::%s@%d: name %s OSString failed
  [0x513543] __TEXT,__cstring: "%s::%s:" "Name char buf too small %d < %d" @%s:%d
  [0x513576] __TEXT,__cstring: initWithADMAInterface
  [0x51358c] __TEXT,__cstring: %s::%s@%d: No DMA for %s
  [0x5135a6] __TEXT,__cstring: %s::%s@%d: Searching for %s
  [0x5135c3] __TEXT,__cstring: %s::%s@%d: Couldn't find channel %s
  [0x5135e8] __TEXT,__cstring: %s::%s@%d: Mismatch channel %s IODirection is %s
  [0x51361a] __TEXT,__cstring: %s::%s@%d: Error reading DMA configuration for %s: %s(%#x)
  [0x513656] __TEXT,__cstring: "%s::%s:" "No workloop" @%s:%d
