  [0xd10102] __TEXT,__const: accessorysensormgrd
  [0xd1013a] __TEXT,__const: aH1xANELoadBalancerDirectPathClient
  [0xd1016a] __TEXT,__const: XAFKSharedMemoryUserClient
  [0xd1018a] __TEXT,__const: ]AFKEndpointInterfaceUserClient
  [0xd101d7] __TEXT,__const: QSharedMemoryRegion
  [0xd101ee] __TEXT,__const: ViBootSharedMemoryRegion
  [0xd10212] __TEXT,__const: SAFKEPInterfaceKextV2
  [0xd10232] __TEXT,__const: \com.apple.polaris.systemgraph
  [0xd1025a] __TEXT,__const: _com.apple.polaris.daemon_default
  [0xd10282] __TEXT,__const: Ycom.apple.alwaysonexclaves
  [0xd102aa] __TEXT,__const: Scom.apple.perception
  [0xd102c4] __TEXT,__const: NsensorOcclusion
  [0xd102d8] __TEXT,__const: SperipheralSensorCrop
  [0xd102f1] __TEXT,__const: W.peripheral-coordination
  [0xd10312] __TEXT,__const: jcom.apple.perceptiond.peripheralCoordinator
  [0xd1034a] __TEXT,__const: _com.apple.polaris.systemgraph_v2
  [0xd103da] __TEXT,__const: [com.apple.BluetoothUIService
  [0xd10402] __TEXT,__const: Vcom.apple.polaris.cache
  [0xd10452] __TEXT,__const: [com.apple.timesync.expositor
  [0xd10492] __TEXT,__const: Wcom.apple.securepairingd
  [0xd104b2] __TEXT,__const: kcom.apple.proactive.visual-action-prediction
  [0xd104ea] __TEXT,__const: _com.apple.AudioAccessoryServices
  [0xd105ca] __TEXT,__const: accessoryupdaterd
  [0xd1061e] __TEXT,__const: Yuarpupdaterservice.display
  [0xd1063d] __TEXT,__const: QUARPUpdaterService
  [0xd10673] __TEXT,__const: JLegacyAudio
  [0xd10683] __TEXT,__const: VMobileAccessoryUpdater.
  [0xd1069c] __TEXT,__const: OEAUpdaterService
  [0xd106b1] __TEXT,__const: SDurianUpdaterService
  [0xd106ca] __TEXT,__const: VStandaloneHIDAudService
  [0xd106e6] __TEXT,__const: XGenericKextUpdaterService
  [0xd10704] __TEXT,__const: ZUSBCAccessoryUpdaterService
  [0xd1072b] __TEXT,__const: WSTDP2700BootstrapService
  [0xd10748] __TEXT,__const: ^EmbeddedAccessoryUpdaterService
  [0xd10773] __TEXT,__const: com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
  [0xd10892] __TEXT,__const: ACCFeatureAudioProductService
  [0xd108b2] __TEXT,__const: Qcom.apple.adid.xpc
  [0xd108fa] __TEXT,__const: [com.apple.xpc.amsengagementd
  [0xd109ea] __TEXT,__const: `com.apple.fairplaydeviceidentityd
  [0xd10a32] __TEXT,__const: Ucom.apple.xpc.amstoold
  [0xd10a52] __TEXT,__const: ^com.apple.amsprivateidentifiers
  [0xd10b62] __TEXT,__const: ACCHWComponentAuthService
  [0xd10ba2] __TEXT,__const: NAppleSEPManager
  [0xd10bba] __TEXT,__const: Ucom.apple.ZhuGeService
  [0xd10c82] __TEXT,__const: ACCMediaLibraryFeature
  [0xd10cd2] __TEXT,__const: ecom.apple.coremedia.routingcontext.xpc
  [0xd10d2a] __TEXT,__const: gcom.apple.coremedia.volumecontroller.xpc
  [0xd10d5a] __TEXT,__const: ACCNowPlayingFeature
  [0xd10dd2] __TEXT,__const: _com.apple.itunescloudd.tcchelper
  [0xd10e9e] __TEXT,__const: Qicloud.fmflocatord
  [0xd10eb5] __TEXT,__const: \coreidvd.system-notifications
  [0xd10ed7] __TEXT,__const: ]transparencyd.accounts-support
  [0xd10efa] __TEXT,__const: cScreenTimeAgent.express-introduction
  [0xd10f26] __TEXT,__const: Qa.ageMigration.xpc
  [0xd10f3d] __TEXT,__const: Fccounts
  [0xd10f4f] __TEXT,__const: Ld.oauthsigner
  [0xd10f61] __TEXT,__const: Jppleidsetup
  [0xd1101a] __TEXT,__const: ^com.apple.BTServer.cloudpairing
  [0xd1113a] __TEXT,__const: Qcom.apple.ndoagent
  [0xd1115a] __TEXT,__const: \com.apple.ak.privateemail.xpc
  [0xd11182] __TEXT,__const: bcom.apple.passd.device-registration
  [0xd11232] __TEXT,__const: ]com.apple.findmy.findmylocate.
  [0xd1125f] __TEXT,__const: Pfriendshipservice
  [0xd112fa] __TEXT,__const: Zcom.apple.passd.cloud-store
  [0xd11342] __TEXT,__const: lcom.apple.findmy.findmylocate.locationservice
  [0xd113ca] __TEXT,__const: Vcom.apple.aa.daemon.xpc
  [0xd11412] __TEXT,__const: Ucom.apple.accounts.dom
  [0xd1148a] __TEXT,__const: Ucom.apple.eligibilityd
  [0xd1154a] __TEXT,__const: ^com.apple.pommesmld.pmldservice
  [0xd11572] __TEXT,__const: xcom.apple.coremedia.mediaplaybackd.mutablecomposition.xpc
  [0xd115d2] __TEXT,__const: ccom.apple.cloudsubscriptionfeaturesd
  [0xd116a2] __TEXT,__const: fcom.apple.xpc.amsserverdatacacheservice
  [0xd116f2] __TEXT,__const: ccom.apple.icloudmailagent.secret.xpc
  [0xd1180a] __TEXT,__const: Qcom.apple.kvsdebug
  [0xd11862] __TEXT,__const: ccom.apple.groupkitd.xpc.groupservice
  [0xd118ba] __TEXT,__const: Vcom.apple.ak.walrus.xpc
  [0xd119f2] __TEXT,__const: Wcom.apple.featureaccessd
  [0xd11a32] __TEXT,__const: ^com.apple.servicesanalytics.xpc
  [0xd11a5a] __TEXT,__const: ^com.apple.aa.accountService.xpc
  [0xd11b02] __TEXT,__const: [com.apple.passd.peer-payment
  [0xd11b2a] __TEXT,__const: Wcom.apple.askpermissiond
  [0xd11ba2] __TEXT,__const: acom.apple.NPKCompanionAgent.Server
  [0xd11daa] __TEXT,__const: AccountSubscriber
  [0xd11dc2] __TEXT,__const: `com.apple.remotemanagementd.store
  [0xd11dea] __TEXT,__const: dcom.apple.RemoteManagementAgent.store
  [0xd11ec2] __TEXT,__const: AccountsUISupportService
  [0xd11f8a] __TEXT,__const: activityawardsd
  [0xd11fa2] __TEXT,__const: Ycom.apple.fitnesscoachingd
  [0xd11fca] __TEXT,__const: Pcom.apple.seymour
  [0xd11fe2] __TEXT,__const: Ycom.apple.activitysharingd
  [0xd120b2] __TEXT,__const: activitysharingd
  [0xd120ca] __TEXT,__const: ]com.apple.biome.compute.source
  [0xd120f2] __TEXT,__const: Xcom.apple.activityawardsd
  [0xd1225a] __TEXT,__const: MAppleNVMeEANUC
  [0xd12272] __TEXT,__const: LASPUserClient
  [0xd1228a] __TEXT,__const: KAppleNVMeEAN
  [0xd122a2] __TEXT,__const: VAppleANS3NVMeController
  [0xd122c2] __TEXT,__const: ZAppleEmbeddedNVMeController
  [0xd122ea] __TEXT,__const: JIOReportHub
  [0xd12302] __TEXT,__const: VAppleANS2NVMeController
  [0xd12322] __TEXT,__const: IASPStorage
  [0xd1233a] __TEXT,__const: XAppleANS2CGNVMeController
  [0xd12382] __TEXT,__const: Zcom.apple.gputools.producer
  [0xd12492] __TEXT,__const: addNetworkInterface
  [0xd12552] __TEXT,__const: addressbooksyncd
  [0xd1275a] __TEXT,__const: AdminLiteTool
  [0xd1280a] __TEXT,__const: Lcom.apple.ap.
  [0xd12819] __TEXT,__const: Oadprivacyd.store
  [0xd1282e] __TEXT,__const: `promotedcontent.supportinterface2
  [0xd1285a] __TEXT,__const: lcom.apple.ap.promotedcontent.supportinterface
  [0xd12892] __TEXT,__const: acom.apple.amsservicesanalytics.xpc
  [0xd12992] __TEXT,__const: AegirProxyApp
  [0xd129a2] __TEXT,__const: Xhangtelemetryd.onceatboot
  [0xd129c2] __TEXT,__const: Ycom.apple.dasd.end-prewarm
  [0xd12a92] __TEXT,__const: AfibBurdenClassifierService
  [0xd12b32] __TEXT,__const: agenticexperienced
  [0xd12bf2] __TEXT,__const: agentstored
  [0xd12c02] __TEXT,__const: gcom.apple.generativesearch.server.search
  [0xd12cda] __TEXT,__const: aggregated
  [0xd12d32] __TEXT,__const: ZIOAccelMemoryInfoUserClient
  [0xd12d92] __TEXT,__const: `AppleHDQGasGaugeControlUserClient
  [0xd12dda] __TEXT,__const: GAppleBTM
  [0xd12ded] __TEXT,__const: UppleANS2NVMeController
  [0xd12e08] __TEXT,__const: YFKMailboxEndpointInterface
  [0xd12e2a] __TEXT,__const: GAppleSMC
  [0xd12e3a] __TEXT,__const: SAppleParavirtDisplay
  [0xd12e5a] __TEXT,__const: QAppleAPFSContainer
  [0xd12e7a] __TEXT,__const: VAppleHDQGasGaugeControl
  [0xd12e9a] __TEXT,__const: LAppleT8030PPM
  [0xd12eb2] __TEXT,__const: KApplePPMCPMS
  [0xd12eea] __TEXT,__const: icom.apple.CarPlayApp.non-launching-service
  [0xd12f5a] __TEXT,__const: acom.apple.powerlogd.XPCService.xpc
  [0xd12f8a] __TEXT,__const: gcom.apple.powerlogHelperd.XPCService.xpc
  [0xd12fda] __TEXT,__const: Wcom.apple.analyticsagent
  [0xd13026] __TEXT,__const: LrbdcConverter
  [0xd13038] __TEXT,__const: ]PerfPowerServicesRbdcConverter
  [0xd1311a] __TEXT,__const: Ucom.apple.trial.status
  [0xd1318a] __TEXT,__const: kcom.apple.diagnosticpipeline.tasking.service
  [0xd131c2] __TEXT,__const: [com.apple.aggregated.addaily
  [0xd131f6] __TEXT,__const: Wnfcd.accessory.hwmanager
  [0xd13213] __TEXT,__const: eCoreTelephony.powerlog-Lite.LogChannel
  [0xd13242] __TEXT,__const: hcom.apple.PerfPowerServicesSignpostReader
  [0xd13272] __TEXT,__const: Q/usr/sbin/kextstat
  [0xd13292] __TEXT,__const: T/usr/local/bin/gunzip
  [0xd1336a] __TEXT,__const: AGXCompilerService-S2A8
  [0xd1341a] __TEXT,__const: aia_controllerd
  [0xd134da] __TEXT,__const: aidearlyboot
  [0xd134ea] __TEXT,__const: ZAIDFirmwareUpdateUserClient
  [0xd135ba] __TEXT,__const: airplayd
  [0xd135ca] __TEXT,__const: QAppleAVEUserClient
  [0xd13612] __TEXT,__const: VIOAudioCodecsUserClient
  [0xd13652] __TEXT,__const: TAppleProResUserClient
  [0xd136ba] __TEXT,__const: MAppleAVEDriver
  [0xd136d2] __TEXT,__const: ZAppleM2ScalerParavirtDriver
  [0xd1371a] __TEXT,__const: LIOAudioCodecs
  [0xd13732] __TEXT,__const: SIOUSBDeviceInterface
  [0xd13752] __TEXT,__const: hAppleVideoToolboxParavirtualizationDriver
  [0xd13782] __TEXT,__const: LAppleProResHW
  [0xd1379a] __TEXT,__const: NAppleAVE2Driver
  [0xd137b2] __TEXT,__const: VisApprovedCarPlayDevice
  [0xd13812] __TEXT,__const: `com.apple.coremedia.capturesource
  [0xd1383a] __TEXT,__const: ncom.apple.corespeech.corespeechd.activation.xpc
  [0xd138f2] __TEXT,__const: `com.apple.mediaanalysisd.realtime
  [0xd1391a] __TEXT,__const: fcom.apple.backboardd.virtualframebuffer
  [0xd139e6] __TEXT,__const: hmediaexperience.carplaymodecontroller.xpc
  [0xd13a14] __TEXT,__const: lcoremedia.mediaplaybackd.audiodeviceclock.xpc
  [0xd13a46] __TEXT,__const: Gairplay.
  [0xd13a50] __TEXT,__const: Lvideoplayback
  [0xd13a62] __TEXT,__const: Magent.services
  [0xd13a75] __TEXT,__const: Wreceiver.contra-services
  [0xd13aca] __TEXT,__const: Wcom.apple.corespeech.xpc
  [0xd13b0e] __TEXT,__const: Uairplay.receiver.agent
  [0xd13b29] __TEXT,__const: Xcarkit.monitoring.service
  [0xd13b4a] __TEXT,__const: ncom.apple.airplay.receiver.mediaremote.services
  [0xd13c4a] __TEXT,__const: AirPlaySenderService
  [0xd13d12] __TEXT,__const: ecom.apple.Carousel.authAlertXPCService
  [0xd13d6a] __TEXT,__const: _com.apple.ak.signinwithapple.xpc
  [0xd13d92] __TEXT,__const: `com.apple.appstorecomponentsd.xpc
  [0xd13dba] __TEXT,__const: hcom.apple.AuthenticationServices.AutoFill
  [0xd13e16] __TEXT,__const: Tak.shieldservices.xpc
  [0xd13e32] __TEXT,__const: AuthenticationServices.AuthenticationServicesAgent.CredentialUpdate
  [0xd13e82] __TEXT,__const: ]com.apple.odi.legacySPIService
  [0xd13eaa] __TEXT,__const: icom.apple.managedconfiguration.mdmdservice
  [0xd13ee2] __TEXT,__const: [com.apple.security.kcsharing
  [0xd13f0a] __TEXT,__const: mcom.apple.AppleVirtualPlatform.IdentityService
  [0xd13f42] __TEXT,__const: {com.apple.SafariFoundation.CredentialProviderExtensionHelper
  [0xd1401a] __TEXT,__const: alwaysonexclavesd
  [0xd14032] __TEXT,__const: XTrustedClockingUserClient
  [0xd14052] __TEXT,__const: RTrustedClockingKEXT
  [0xd1413a] __TEXT,__const: WAppleMobileFileIntegrity
  [0xd1415a] __TEXT,__const: Scom.apple.amfi.nsxpc
  [0xd14292] __TEXT,__const: AMPIDService
  [0xd14332] __TEXT,__const: amsaccountsd
  [0xd14362] __TEXT,__const: LProvInfoIOKit
  [0xd1437a] __TEXT,__const: Zcom.apple.PineBoardServices
  [0xd143ca] __TEXT,__const: Wcom.apple.companiond.xpc
  [0xd143ea] __TEXT,__const: Vcom.apple.biometrickitd
  [0xd1440a] __TEXT,__const: `com.apple.amsondevicestoraged.xpc
  [0xd14432] __TEXT,__const: Ocom.apple.algosd
  [0xd144ca] __TEXT,__const: ^com.apple.xpc.amsuniversallinks
  [0xd14522] __TEXT,__const: _com.apple.coreidvd.docUpload.xpc
  [0xd145ea] __TEXT,__const: amsengagementd
  [0xd14642] __TEXT,__const: jcom.apple.watchnotificationsui.alertservice
  [0xd1469a] __TEXT,__const: Wcom.apple.lsd.extensions
  [0xd146da] __TEXT,__const: lcom.apple.JetTracingSupport.JetTracingService
  [0xd147fa] __TEXT,__const: amsondevicestoraged
  [0xd14812] __TEXT,__const: Zcom.apple.jetpackassetd.xpc
  [0xd148e2] __TEXT,__const: analyticsagent
  [0xd14906] __TEXT,__const: Oanalyticsd.agent
  [0xd1491b] __TEXT,__const: Scoreanalyticsd.agent
  [0xd14aae] __TEXT,__const: O1ANEInUserClient
  [0xd14ac3] __TEXT,__const: UxANELoadBalancerClient
  [0xd14ae2] __TEXT,__const: HANEDriver
  [0xd14b03] __TEXT,__const: NCompilerService
  [0xd14b17] __TEXT,__const: XLargeModelCompilerService
  [0xd14b35] __TEXT,__const: [private.ANEStorageMaintainer
  [0xd14c02] __TEXT,__const: ANELargeModelCompilerService
  [0xd14c22] __TEXT,__const: ANEStorageMaintainer
  [0xd14cca] __TEXT,__const: ANFDecoder
  [0xd14d8a] __TEXT,__const: announced
  [0xd14dde] __TEXT,__const: Iannounced.
  [0xd14df5] __TEXT,__const: Itoneplayer
  [0xd14e04] __TEXT,__const: acorespeech.corespeechd.ssv.service
  [0xd14e5a] __TEXT,__const: ecom.apple.appintents.LiveEntityService
  [0xd14ed4] __TEXT,__const: com.apple.telephonyutilities.callservicesdaemon.conversationprovidermanager
  [0xd1500a] __TEXT,__const: anomalydetectiond
  [0xd15022] __TEXT,__const: _AppleSPUFastpathDriverUserClient
  [0xd1504a] __TEXT,__const: UAppleSPUFastpathDriver
  [0xd1506a] __TEXT,__const: PAppleSPUHIDDevice
  [0xd150d2] __TEXT,__const: hcom.apple.biome.compute.publisher.service
  [0xd15102] __TEXT,__const: Lcom.apple.sos
  [0xd151c2] __TEXT,__const: aonsensed
